                * BANG LUONG GIAC *

 様様様様様様様様様様様様様様様様様様様様様様様様様様様様様
| DO | RADIAN |   SIN    |   COSIN  |   TAN    |  COTANG  |
 様様様様様様様様様様様様様様様様様様様様様様様様様様様様様
| 1|0.01745329|0.01745241|0.99984770|  0.017455| 57.289962|
| 2|0.03490659|0.03489950|0.99939083|  0.034921| 28.636253|
| 3|0.05235988|0.05233596|0.99862953|  0.052408| 19.081137|
| 4|0.06981317|0.06975647|0.99756405|  0.069927| 14.300666|
| 5|0.08726646|0.08715574|0.99619470|  0.087489| 11.430052|
| 6|0.10471976|0.10452846|0.99452190|  0.105104|  9.514364|
| 7|0.12217305|0.12186934|0.99254615|  0.122785|  8.144346|
| 8|0.13962634|0.13917310|0.99026807|  0.140541|  7.115370|
| 9|0.15707963|0.15643447|0.98768834|  0.158384|  6.313752|
|10|0.17453293|0.17364818|0.98480775|  0.176327|  5.671282|
|11|0.19198622|0.19080900|0.98162718|  0.194380|  5.144554|
|12|0.20943951|0.20791169|0.97814760|  0.212557|  4.704630|
|13|0.22689280|0.22495105|0.97437006|  0.230868|  4.331476|
|14|0.24434610|0.24192190|0.97029573|  0.249328|  4.010781|
|15|0.26179939|0.25881905|0.96592583|  0.267949|  3.732051|
|16|0.27925268|0.27563736|0.96126170|  0.286745|  3.487414|
|17|0.29670597|0.29237170|0.95630476|  0.305731|  3.270853|
|18|0.31415927|0.30901699|0.95105652|  0.324920|  3.077684|
|19|0.33161256|0.32556815|0.94551858|  0.344328|  2.904211|
|20|0.34906585|0.34202014|0.93969262|  0.363970|  2.747477|
|21|0.36651914|0.35836795|0.93358043|  0.383864|  2.605089|
|22|0.38397244|0.37460659|0.92718385|  0.404026|  2.475087|
|23|0.40142573|0.39073113|0.92050485|  0.424475|  2.355852|
|24|0.41887902|0.40673664|0.91354546|  0.445229|  2.246037|
|25|0.43633231|0.42261826|0.90630779|  0.466308|  2.144507|
|26|0.45378561|0.43837115|0.89879405|  0.487733|  2.050304|
|27|0.47123890|0.45399050|0.89100652|  0.509525|  1.962611|
|28|0.48869219|0.46947156|0.88294759|  0.531709|  1.880726|
|29|0.50614548|0.48480962|0.87461971|  0.554309|  1.804048|
|30|0.52359878|0.50000000|0.86602540|  0.577350|  1.732051|
|31|0.54105207|0.51503807|0.85716730|  0.600861|  1.664279|
|32|0.55850536|0.52991926|0.84804810|  0.624869|  1.600335|
|33|0.57595865|0.54463904|0.83867057|  0.649408|  1.539865|
|34|0.59341195|0.55919290|0.82903757|  0.674509|  1.482561|
|35|0.61086524|0.57357644|0.81915204|  0.700208|  1.428148|
|36|0.62831853|0.58778525|0.80901699|  0.726543|  1.376382|
|37|0.64577182|0.60181502|0.79863551|  0.753554|  1.327045|
|38|0.66322512|0.61566148|0.78801075|  0.781286|  1.279942|
|39|0.68067841|0.62932039|0.77714596|  0.809784|  1.234897|
|40|0.69813170|0.64278761|0.76604444|  0.839100|  1.191754|
|41|0.71558499|0.65605903|0.75470958|  0.869287|  1.150368|
|42|0.73303829|0.66913061|0.74314483|  0.900404|  1.110613|
|43|0.75049158|0.68199836|0.73135370|  0.932515|  1.072369|
|44|0.76794487|0.69465837|0.71933980|  0.965689|  1.035530|
|45|0.78539816|0.70710678|0.70710678|  1.000000|  1.000000|
|46|0.80285146|0.71933980|0.69465837|  1.035530|  0.965689|
|47|0.82030475|0.73135370|0.68199836|  1.072369|  0.932515|
|48|0.83775804|0.74314483|0.66913061|  1.110613|  0.900404|
|49|0.85521133|0.75470958|0.65605903|  1.150368|  0.869287|
|50|0.87266463|0.76604444|0.64278761|  1.191754|  0.839100|
|51|0.89011792|0.77714596|0.62932039|  1.234897|  0.809784|
|52|0.90757121|0.78801075|0.61566148|  1.279942|  0.781286|
|53|0.92502450|0.79863551|0.60181502|  1.327045|  0.753554|
|54|0.94247780|0.80901699|0.58778525|  1.376382|  0.726543|
|55|0.95993109|0.81915204|0.57357644|  1.428148|  0.700208|
|56|0.97738438|0.82903757|0.55919290|  1.482561|  0.674509|
|57|0.99483767|0.83867057|0.54463904|  1.539865|  0.649408|
|58|1.01229097|0.84804810|0.52991926|  1.600335|  0.624869|
|59|1.02974426|0.85716730|0.51503807|  1.664279|  0.600861|
|60|1.04719755|0.86602540|0.50000000|  1.732051|  0.577350|
|61|1.06465084|0.87461971|0.48480962|  1.804048|  0.554309|
|62|1.08210414|0.88294759|0.46947156|  1.880726|  0.531709|
|63|1.09955743|0.89100652|0.45399050|  1.962611|  0.509525|
|64|1.11701072|0.89879405|0.43837115|  2.050304|  0.487733|
|65|1.13446401|0.90630779|0.42261826|  2.144507|  0.466308|
|66|1.15191731|0.91354546|0.40673664|  2.246037|  0.445229|
|67|1.16937060|0.92050485|0.39073113|  2.355852|  0.424475|
|68|1.18682389|0.92718385|0.37460659|  2.475087|  0.404026|
|69|1.20427718|0.93358043|0.35836795|  2.605089|  0.383864|
|70|1.22173048|0.93969262|0.34202014|  2.747477|  0.363970|
|71|1.23918377|0.94551858|0.32556815|  2.904211|  0.344328|
|72|1.25663706|0.95105652|0.30901699|  3.077684|  0.324920|
|73|1.27409035|0.95630476|0.29237170|  3.270853|  0.305731|
|74|1.29154365|0.96126170|0.27563736|  3.487414|  0.286745|
|75|1.30899694|0.96592583|0.25881905|  3.732051|  0.267949|
|76|1.32645023|0.97029573|0.24192190|  4.010781|  0.249328|
|77|1.34390352|0.97437006|0.22495105|  4.331476|  0.230868|
|78|1.36135682|0.97814760|0.20791169|  4.704630|  0.212557|
|79|1.37881011|0.98162718|0.19080900|  5.144554|  0.194380|
|80|1.39626340|0.98480775|0.17364818|  5.671282|  0.176327|
|81|1.41371669|0.98768834|0.15643447|  6.313752|  0.158384|
|82|1.43116999|0.99026807|0.13917310|  7.115370|  0.140541|
|83|1.44862328|0.99254615|0.12186934|  8.144346|  0.122785|
|84|1.46607657|0.99452190|0.10452846|  9.514364|  0.105104|
|85|1.48352986|0.99619470|0.08715574| 11.430052|  0.087489|
|86|1.50098316|0.99756405|0.06975647| 14.300666|  0.069927|
|87|1.51843645|0.99862953|0.05233596| 19.081137|  0.052408|
|88|1.53588974|0.99939083|0.03489950| 28.636253|  0.034921|
|89|1.55334303|0.99984770|0.01745241| 57.289962|  0.017455|
 様様様様様様様様様様様様様様様様様様様様様様様様様様様様様


               Tp Ho Chi Minh, ngay 29/11/1999
                          NGUOI LAP TRINH


                  Nguyen Van Keo + Pham Van Cot
